borough;location_id;zone;Longitude;Latitude
EWR;1;Newark Airport;-74.1767785471836;40.6895151478039
Queens;2;Jamaica Bay;-73.826141187548;40.6257250653606
Bronx;3;Allerton/Pelham Gardens;-73.8494797117996;40.8658720486048
Manhattan;4;Alphabet City;-73.9770238531481;40.7241508237094
Staten Island;5;Arden Heights;-74.1899382186973;40.5503388087419
Staten Island;6;Arrochar/Fort Wadsworth;-74.067784415989;40.5990540522727
Queens;7;Astoria;-73.9214822351202;40.7610941908165
Queens;8;Astoria Park;-73.9231996351178;40.7786091900536
Queens;9;Auburndale;-73.788019387688;40.7543991714348
Manhattan;24;Bloomingdale;-73.9655685008179;40.8020326846964
Queens;10;Baisley Park;-73.7916548635917;40.678101884465
Brooklyn;11;Bath Beach;-74.010614577798;40.6039781434647
Manhattan;12;Battery Park;-74.015489822631;40.7024875740507
Manhattan;13;Battery Park City;-74.016119676412;40.7116120409703
Bronx;18;Bedford Park;-73.8869234351293;40.8687686529423
Brooklyn;25;Boerum Hill;-73.9864596713285;40.6856156764957
Brooklyn;14;Bay Ridge;-74.0304481021718;40.6235833928849
Queens;15;Bay Terrace/Fort Totten;-73.7879935355271;40.7852453578963
Brooklyn;22;Bensonhurst West;-73.9942964016157;40.6096262221388
Staten Island;23;Bloomfield/Emerson Hill;-74.1593411184408;40.6074284613631
Queens;16;Bayside;-73.7716756284112;40.7612343254115
Brooklyn;17;Bedford;-73.949180773692;40.6919912634499
Queens;19;Bellerose;-73.727896170924;40.7364716742206
Bronx;20;Belmont;-73.8860353385252;40.8577730959398
Brooklyn;21;Bensonhurst East;-73.9813014192894;40.6020489344532
Brooklyn;26;Borough Park;-73.9895605620844;40.6286134091127
Queens;27;Breezy Point/Fort Tilden/Riis Beach;-73.9097817318296;40.5589421136732
Queens;28;Briarwood/Jamaica Hills;-73.8073148986691;40.7108516062057
Brooklyn;33;Brooklyn Heights;-73.9953288805328;40.6962386836944
Brooklyn;29;Brighton Beach;-73.9605803598493;40.5821933711719
Bronx;31;Bronx Park;-73.8757213805039;40.8599258834332
Bronx;32;Bronxdale;-73.8646243306344;40.8644452005706
Queens;30;Broad Channel;-73.8200979414619;40.6048766987842
Brooklyn;34;Brooklyn Navy Yard;-73.9677011560345;40.7025605301963
Brooklyn;35;Brownsville;-73.9124714112829;40.6637990606078
Brooklyn;36;Bushwick North;-73.9161942746904;40.6988739907155
Brooklyn;37;Bushwick South;-73.9259408152051;40.696262872816
Queens;38;Cambria Heights;-73.7355503356822;40.6933168280704
Brooklyn;39;Canarsie;-73.8997822566826;40.6388776813527
Brooklyn;40;Carroll Gardens;-73.9958179086599;40.6785035606692
Manhattan;41;Central Harlem;-73.9520643705523;40.8042043196443
Manhattan;45;Chinatown;-73.9982525452979;40.713058469731
Bronx;46;City Island;-73.7864259615609;40.847469471525
Manhattan;42;Central Harlem North;-73.9395193400941;40.8210432481452
Manhattan;43;Central Park;-73.9655721742261;40.7824596006424
Staten Island;44;Charleston/Tottenville;-74.2295254958276;40.5273168902313
Bronx;47;Claremont/Bathgate;-73.8969289384913;40.8457548038173
Manhattan;48;Clinton East;-73.9898566520191;40.7622366943826
Brooklyn;49;Clinton Hill;-73.9649334691936;40.6885144373622
Manhattan;50;Clinton West;-73.9938997681529;40.7666918128623
Bronx;51;Co-Op City;-73.83041955048;40.8740723627583
Brooklyn;52;Cobble Hill;-73.9969227180023;40.6866039903311
Queens;53;College Point;-73.8440792356717;40.7819836057417
Brooklyn;54;Columbia Street;-74.0030934802705;40.6869905668704
Brooklyn;55;Coney Island;-73.9904735561227;40.5768972746941
Queens;56;Corona;-73.8590561941745;40.7415985183016
Queens;56;Corona;-73.8533838202807;40.7523147567598
Bronx;58;Country Club;-73.8207250601369;40.8415088688735
Bronx;59;Crotona Park;-73.8930766915585;40.8388556804551
Bronx;60;Crotona Park East;-73.8897802710264;40.8312936607613
Brooklyn;61;Crown Heights North;-73.9412833434095;40.6738413689524
Brooklyn;62;Crown Heights South;-73.949268913492;40.6670833198005
Brooklyn;63;Cypress Hills;-73.8776771989887;40.6848229735849
Queens;64;Douglaston;-73.7314527800241;40.760668294731
Brooklyn;65;Downtown Brooklyn/MetroTech;-73.9855709103419;40.6953719451294
Brooklyn;72;East Flatbush/Remsen Village;-73.9202093751089;40.6524529041998
Brooklyn;66;DUMBO/Vinegar Hill;-73.9863824464887;40.7017322090195
Brooklyn;67;Dyker Heights;-74.0147359432118;40.618454023575
Manhattan;68;East Chelsea;-73.9999401557;40.7483971626708
Queens;73;East Flushing;-73.8066010835421;40.7536968193034
Bronx;69;East Concourse/Concourse Village;-73.9153682953623;40.8306044452361
Queens;70;East Elmhurst;-73.8684053913991;40.7639477210201
Brooklyn;71;East Flatbush/Farragut;-73.9377345760915;40.6439287510255
Manhattan;79;East Village;-73.9852139376555;40.7279439556963
Brooklyn;80;East Williamsburg;-73.942335809577;40.7144620687616
Manhattan;74;East Harlem North;-73.9383133149248;40.8055646797432
Brooklyn;85;Erasmus;-73.9522089235581;40.6472548455642
Queens;86;Far Rockaway;-73.7541915046308;40.6025875430331
Manhattan;75;East Harlem South;-73.9449566719829;40.7906498131877
Brooklyn;76;East New York;-73.8783788222371;40.6587031028167
Brooklyn;77;East New York/Pennsylvania Avenue;-73.8957171457067;40.6677017199152
Bronx;78;East Tremont;-73.8866447286733;40.8460111330758
Bronx;81;Eastchester;-73.8455513346595;40.8773597611107
Manhattan;87;Financial District North;-74.0078109913198;40.7066582793788
Queens;82;Elmhurst;-73.8723463998088;40.7384711451316
Queens;83;Elmhurst/Maspeth;-73.8892345115106;40.7401496459848
Staten Island;84;Eltingville/Annadale/Prince's Bay;-74.1739579641169;40.5320157425092
Manhattan;88;Financial District South;-74.0113075756494;40.7033942088545
Brooklyn;89;Flatbush/Ditmas Park;-73.9626943864698;40.6409826942743
Manhattan;90;Flatiron;-73.9967770109211;40.7425467941509
Manhattan;125;Hudson Sq;-74.0071760746138;40.7253761379771
Brooklyn;91;Flatlands;-73.9325432531215;40.62738904152
Queens;92;Flushing;-73.830446663996;40.7641269160531
Queens;93;Flushing Meadows-Corona Park;-73.8418971404074;40.7392419968231
Bronx;94;Fordham South;-73.9005936566449;40.8582578254515
Queens;95;Forest Hills;-73.8482280477574;40.7234787937062
Queens;96;Forest Park/Highland Park;-73.8759726709683;40.6957597292336
Brooklyn;97;Fort Greene;-73.9755770542604;40.6906172512069
Queens;98;Fresh Meadows;-73.7795627090344;40.7338408065896
Staten Island;99;Freshkills Park;-74.1877048891303;40.5796170852987
Manhattan;100;Garment District;-73.9887858961858;40.753514033595
Queens;101;Glen Oaks;-73.7090728013721;40.7437423878519
Queens;102;Glendale;-73.8820093188063;40.7026675398565
